['Post-it ', 'Scotch tape', 'Paper', 'Disposable', 'Plastic ']
['online payment ', 'digital wallet', 'e-commerce', 'transaction', 'financial services']
['water treatment ', 'pumps ', 'valves ', 'filtration ', 'distribution']
['soft drink', 'beverage', 'cola', 'snack', 'food']
['vaccine ', 'COVID-19', 'BioNTech', 'partnership', 'clinical trial']
['natural gas ', 'utility ', 'renewable energy ', 'California ', 'carbon emissions']
['cigarette', 'tobacco', 'Marlboro', 'Philip Morris', 'smokes']
['petroleum ', 'refining ', 'crude oil', 'refinery', 'fuel supply']
['utility ', 'energy ', 'renewable energy ', 'natural gas ', 'carbon emissions reduction']
['banking ', 'financial services ', 'investment ', 'credit ', 'loans']
[ 'Pool', 'Chemicals : 화학 물질, 수질 관리에 사용되는 약품 등을 의미합니다. ', 'Treatment : 수질 정화, 처리 등을 의미합니다. ', 'Maintenance : 유지 보수, 관리 등을 의미합니다. ', 'Safety : 안전, 사고 예방 등을 의미합니다.']
['Paints ', 'Coatings', 'Automotive', 'Industrial', 'Colors']
['Power ', 'Generation', 'Electricity', 'Renewable Energy', 'Utilities']
['retirement ', 'investment ', 'insurance ', 'financial planning ', 'annuities']
['detergent ', 'deodorant', 'Tide', 'Pampers', 'Gillette']
['Insurance ', 'Property ', 'Casualty ', 'Reinsurance ', 'Underwriting ']
['logistics ', 'real estate ', 'warehousing ', 'distribution ', 'supply chainmanagement']
['insurance ', 'annuities ', 'retirement ', 'investment ', 'financial services']
['energy ', 'utility', 'electricity', 'natural gas', 'renewable energy']
['3D ', 'CAD (Computer-Aided Design)', 'PLM (Product Lifecycle Management)', 'IoT (Internet of Things)', 'AR (Augmented Reality)']
['storage ', 'self-storage', 'facility', 'rental', 'unit']
[ 'Homebuilding ', 'Housing ', 'Construction ', 'Mortgage ', 'Real estate']
['RF (Radio Frequency)', 'semiconductor', 'mmWave', 'antenna', 'modem']
['semiconductor ', 'fabrication ', 'manufacturing ', 'supply chain ', 'capital equipment']
['mobile chipset ', 'modem', 'Snapdragon', '5G', 'licensing', '5G 기술 관련 특허와 라이센스 사업도 활발히 진행하고 있습니다.']
['Diagnostic tests ', 'Laboratory services ', 'Healthcare ', 'Testing ', 'Clinical diagnostics']
[ 'Polo ', 'Ralph Lauren ', 'Fashion ', 'Brand ', 'Lifestyle']
['financial services ', 'investment banking ', 'insurance ', 'retirement planning ', 'asset management']
['GPU (Graphics Processing Unit) ', 'Nvidia', 'Ampere architecture', 'Tensor Core', 'Volta architecture']
['Real Estate Investment Trust (REIT) ', 'Dividend ', 'Property Management ', 'Net Lease ', 'Capitalization Rate']
['real estate ', 'shopping center', 'property development', 'lease', 'tenant management']
['Regeneron ', 'Pharmaceuticals ', 'Biotechnology ', 'Efficacy ', 'Clinical Trials']
['Bank ', 'Finance', 'Investment', 'Stock Market', 'Regulatory Compliance']
['waste management ', 'recycling', 'solid waste', 'hauling', 'services']
['sleep apnea ', 'continuous positive airway pressure (CPAP) ', 'humidifier ', 'air pump ', 'ventilator']
[ '', '도움이 될 수 있도록 최선을 다하겠습니다.']
['industrial automation ', 'programmable logic controller (PLC)', 'motion control', 'HMI (Human-Machine Interface)', 'SCADA (Supervisory Control and Data Acquisition)']
['', 'pest control ', 'extermination ', 'termite ', 'roach ', 'insecticide']
['industrial automation ', 'manufacturing ', 'robotics ', 'sensors ', 'software solutions']
['Retail ', 'Clothing', 'Merchandise', 'Brands', 'Sales']
['cruise ship ', 'vacation ', 'entertainment ', 'onboard ', 'travel']
['', 'S&P 500 ', '신용평가 ', '지수 ', '미국주식 ', '글로벌 주식']
['customer relationship management ', 'cloud computing ', 'CRM software ', 'marketing automation ', '**********.***']
['Telecommunications ', 'Cable TV', 'Broadband', 'Satellite', 'Spectrum']
['oil exploration ', 'drilling ', 'production ', 'technology ', 'geology']
['hard drive ', 'storage ', 'data ', 'solid-state drive (SSD)', 'NAS']
['', 'energy ', 'utility ', 'natural gas ', 'emissions reduction']
['IT Service Management ', 'Cloud-based ', 'Automation ', 'Incident Management ', 'Change Management']
['', 'paint ', 'Paints', 'Color', 'exterior', 'interior']
['', 'Real Estate ', 'Shopping Center ', 'Leasing ', 'Property Management ', 'Net Lease Retail  ']
['semiconductor ', 'wireless technology ', 'modem ', 'antenna ', 'RF (radio frequency)']
['peanut butter ', 'chocolate ', 'syrup ', 'coffee ', 'spreads']
['Paper ', 'Packaging', 'Recycling', 'Forestry', 'Supply Chain']
['automotive tools ', 'wrench ', 'socket set ', 'repair ', 'maintenance']
[ 'solvent : 지불 능력이 있는, 건실한 ', 'financial statement : 재무 제표', 'debt : 부채', 'asset : 자산', 'liquidity : 유동성']
['Energy ', 'Power ', 'Renewable ', 'Gas ', 'Utilities']
[ 'flight ', 'airline ', 'schedule ', 'ticket ', 'baggage']
['power tool ', 'drill ', 'hand tool ', 'aerospace ', 'manufacturing']
[ 'coffee ', 'espresso ', 'latte', 'drip coffee', 'Starbucks Card ']
['ETF ', 'mutual fund', 'investment management', 'securities lending', 'asset servicing']
[ 'steel ', 'manufacturing ', 'production ', 'revenue ', 'stock']
['', 'Steris : 해당 기업의 이름으로, 의료기기 제조 및 판매 업체입니다.', 'medical device ', 'sterilization ', 'infection control ', 'hygiene ']
['Medical Devices ', 'Orthopedics ', 'Instruments ', 'Joint Replacement ', 'Prosthetics  ']
['', 'Server ', 'Computer ', 'Motherboard ', 'Processor ', 'Storage']
['credit card ', 'financial services ', 'consumer lending ', 'personal finance ', 'unsecured debt']
['semiconductor ', 'technology ', 'chips ', 'design ', 'innovation']
['foodservice', 'supplies', 'contracts', 'catering', 'revenue']
['wireless ', 'mobile ', '5G ', 'spectrum ', 'merger']
['investment management ', 'mutual fund', 'portfolio management', 'asset allocation', 'financial services']
['video game ', 'publisher ', 'Grand Theft Auto ', 'NBA 2K', 'stock']
['Tapestry ', 'fashion ', 'luxury ', 'brand ', 'accessories']
[ 'oil ', 'natural gas ', 'drilling ', 'production ', 'shale']
['Retail ', 'Clothing', 'Merchandise', 'Department Store', 'Apparel']
['Connector ', 'Electronic component ', 'Automotive ', 'Aerospace ', 'Sensors']
['Imaging', 'sensors', 'cameras', 'aerospace', 'defense']
['Medical devices ', 'Healthcare ', 'Innovation ', 'Performance ', 'Quality']
['Automation ', 'Test Equipment ', 'Semiconductor ', 'Manufacturing ', 'Technology']
['electric car ', 'battery ', 'Elon Musk ', 'Model S ', 'Autopilot']
['semiconductors', 'integrated circuits', 'microprocessors', 'analog ', 'power management ']
['Aviation ', 'Defense', 'Aerospace', 'Turbomachinery', 'Engine',  '', '', '', '']
['Life science ', 'Analytical instruments ', 'Scientific research ', 'Biomedical ', 'Diagnostic reagents']
['discount retail ', 'clothing ', 'home goods', 'warehouse club', 'TJ Maxx']
['tractor ', 'supply', 'agriculture', 'fertilizer', 'seeds']
['HVAC (Heating, Ventilation, and Air Conditioning) ', 'Climate Control', 'Energy Efficiency', 'Comfort Solutions', 'Building Automation']
['aerospace ', 'defense', 'composite materials', 'technology', 'manufacturing']
['Insurance ', 'Reinsurance ', 'Property and Casualty ', 'Underwriting ', 'Risk Management  ']
['GPS ', 'mapping ', 'surveying ', 'technology ', 'innovation']
[ 'bank ', 'financial services ', 'merger ', 'acquisition ', 'capitalization']
['software ', 'enterprise ', 'customer relationship management (CRM)', 'cloud-based solutions', 'financial management systems']
['chicken ', 'beef', 'pork', 'supply chain', 'food processing']
['banking ', 'financial services ', 'account ', 'loan ', 'savings account']
['ride-sharing ', 'app', 'Uber Eats', 'self-driving cars', 'surge pricing']
['UDR (company name) ', 'Apartment REITs (Real Estate Investment Trusts) ', 'Multifamily Housing (다세대 주택) ', 'Diversified Real Estate Portfolio (다양한 부동산 포트폴리오) ', 'Capital Growth (자본 성장)']
['cosmetics ', 'skincare', 'makeup', 'beauty products', 'retail']
['railroad ', 'freight ', 'locomotive ', 'shipping ', 'transportation']
['flight ', 'airline', 'passengers', 'travel', 'revenue']
['shipping ', 'delivery', 'package', 'logistics', 'freight']
['', 'rental ', 'equipment ', 'construction ', 'lease ', 'property']
[ 'health insurance', 'healthcare ', 'medical ', 'employee benefits', 'government contracts']
['Healthcare ', 'Hospitals ', 'Medical Services ', 'Patient Care ', 'Health Insurance']
['oil ', 'refining ', 'refinery ', 'crude oil ', 'gasoline']
['Sales ', 'Revenue', 'Stock performance', 'Earnings', 'Financial report']
[ 'Lithium-ion Battery :  리튬이온 배터리는 전기차 등에서 사용되는 대표적인 배터리로, Veralto가 해당 분야에서 기술력을 보유하고 있습니다. ', 'Energy Storage', 'Innovation : 혁신은 Veralto가 추구하는 가치 중 하나로, 새로운 기술과 제품을 개발하여 시장을 선도하고자 합니다. ', 'Sustainability : 지속 가능성은 Veralto가 추구하는 가치 중 하나로, 환경 보호와 사회적 책임을 중시하며, 이를 위한 노력을 기울이고 있습니다. ', 'Partnership : 파트너쉽은 Veralto가 협력 관계를 맺고 있는 기업들과의 관계를 의미하며, 이를 통해 기술력을 향상시키고, 시장 점유율을 확대하고자 합니다.']
['Domain Name System (DNS)', 'Internet Security Association and Protocols for the Internet (ISAPIN)', 'Secure Sockets Layer (SSL)', 'Digital Certificates', 'Online Authentication ']
['Risk Management ', 'Insurance ', 'Analytics ', 'Underwriting ', 'Financial Services']
['wireless ', 'telecom', '5G', 'network', 'subscriber']
['cystic fibrosis ', 'drug development ', 'Orkambi ', 'Kalydeco ', 'Vertex Ventures']
['pharmaceutical ', 'drugs ', 'vaccines ', 'partnership ', 'revenue']
['real estate ', 'development ', 'investment ', 'property ', 'assets']
['credit card ', 'payment ', 'digital ', 'transaction ', 'globalization']
['solar ', 'renewable energy ', 'wind power ', 'carbon capture and storage ', 'clean technology']
['concrete ', 'aggregates ', 'construction ', 'quarry ', 'ready-mix cement']
['insurance ', 'reinsurance ', 'catastrophe ', 'surplus lines ', 'risk management']
['music ', 'sheet music', 'songwriter', 'orchestra', 'publishing']
['locomotive ', 'railcar ', 'transportation ', 'industrial ', 'maintenance']
['pharmaceutical ', 'health care ', 'retail ', 'consumer products ', 'distribution']
['retail ', 'warehouse']
['animation ', 'theme park', 'Mickey Mouse', 'Disneyland', 'shareholder ', ' ']
['content ', 'entertainment ', 'acquisition ', 'streaming ', 'merger']
['waste ', 'management', 'recycling', 'disposal', 'sustainability']
['water ', 'treatment', 'filtration', 'wastewater', 'utility ', ' ']
['energy ', 'utility ', 'renewable energy ', 'generation ', 'carbon emissions']
['banking ', 'financial services ', 'credit ', 'loans ', 'deposits']
['Healthcare ', 'Senior Living ', 'REIT ', 'Real Estate Investment Trust ', 'Wellbeing']
['pharmaceutical ', 'drugs ', 'manufacturing ', 'distribution ', 'generics']
['hard drive ', 'storage ', 'data ', 'solid-state drive (SSD)', 'NAND flash']
['timber ', 'wood  ', 'forestry ', 'paper industry', 'lumber company']
['oil and gas ', 'natural gas ', 'shale ', 'drilling ', 'production']
['Risk Management ', 'Consulting ', 'Insurance ', 'Employee Benefits ', 'Actuarial Services']
['Casino ', 'Hotel ', 'Resort ', 'Entertainment ', 'Luxury  ']
['renewable energy ', 'carbon emissions ', 'power generation ', 'utility company ', 'grid management']
['Plant Hygiene ', 'Water Management Solutions ', 'Irrigation Systems ', 'Environmental Technologies ', 'Metering and Monitoring Systems']
['Pizza', 'Burger', 'Restaurant ', 'Food ', 'Franchise']
['RFID (Radio Frequency Identification) - Zebra Technologies는 주로 RFID 기술을 활용한 제품 및 서비스를 제공하는 기업으로, RFID 리더, 태그, 소프트웨어 등을 개발 및 판매하고 있습니다.', 'Industrial Automation - 산업 자동화 분야에서도 활발한 활동을 하고 있으며, 생산 공정에서 필요한 다양한 자동화 솔루션을 제공하고 있습니다.', 'Barcode Labeling - 바코드 레이블링 시스템도 주력 분야 중 하나이며, 다양한 종류의 바코드 레이블링 장비와 소프트웨어를 공급하고 있습니다.', 'Mobile Computing - 모바일 컴퓨팅 분야에서도 선도적인 역할을 하고 있으며, 안드로이드 기반의 모바일 기기와 애플리케이션을 통해 고객들에게 다양한 업무 지원 솔루션을 제공하고 있습니다.', 'Supply Chain Management - 공급망 관리 분야에서도 중요한 역할을 하고 있으며, RFID 기술을 활용한 공급망 관리 솔루션을 제공하여 기업들의 효율적인 물류 및 재고 관리를 돕고 있습니다.']
['medical device ', 'orthopedics ', 'joint replacement ', 'implants ', 'revenue']
['Animal Health ', 'Vaccines ', 'Pharmaceuticals ', 'Livestock ', 'Research & Development']
